serial_no,name,q1_cleaningstartdate,q1_cleaningenddate,remarks_q1,q2_cleaningstartdate,q2_cleaningenddate,remarks_q2,q3_cleaningstartdate,q3_cleaningenddate,remarks_q3,q4_cleaningstartdate,q4_cleaningenddate,remarks_q4,other_works_startdate,other_works_enddate,remarks_other_works,latitude_hc,longitude_hc,photourl,address_myenv,no_of_market_stalls,no_of_food_stalls,description_myenv,status,google_3d_view,google_for_stall
1,Adam Road Food Centre,6/3/2023,6/3/2023,nil,5/6/2023,5/6/2023,nil,TBC,TBC,nil,TBC,TBC,nil,1/10/2023,31/12/2023,Repairs and Redecoration,1.324131966,103.8141632,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,"2, Adam Road, Singapore 289876",0,32,"Built in 1974, Adam Food Centre comprises 32 cooked food stalls.  Although small in size, the hawker centre has a huge reputation.  Popular food offered in the centre includes BBQ Seafood, Nasi Lemak, Prawn Noodles etc.",Existing,https://goo.gl/maps/ZMLJeP8STKpDP9so9,nil
2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),TBC,TBC,nil,TBC,TBC,nil,4/9/2023,5/9/2023,nil,18/12/2023,19/12/2023,nil,1/3/2023,30/6/2023,Repairs and Redecoration,1.320709944,103.8870926,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,"Blk 117, Aljunied Ave 2, Singapore 380117",82,79,"Next to Geylang East Swimming Complex and other amenities, the hawker centre caters to the marketing and dining needs of the residents at Geylang East. The centre was built in 1978 and comprises 79 cooked food stalls and 82 market stalls.",Existing,https://goo.gl/maps/XVjxu6hgpcwt15JC8,nil
3,Amoy Street Food Centre (Telok Ayer Food Centre),14/1/2023,14/1/2023,nil,1/5/2023,1/5/2023,nil,12/8/2023,12/8/2023,nil,25/11/2023,27/11/2023,nil,NA,NA,nil,1.279129028,103.8469849,https://www.nea.gov.sg/images/default-source/hawker-centres-division/amoy-street-food-centre.jpg,"National Development Building, Annex B, Telok Ayer Street, Singapore 069111",1,134,"Built in 1983, the two-storey food centre is located within the central business district.  Housing many well-known stalls, the centre has evolved into a favourite lunch venue for executives working near Shenton Way. Be spoilt by the choice of hawker fare at affordable prices!",Existing,https://goo.gl/maps/RiX319zQXRFeHWPE6,nil
4,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),13/3/2023,13/3/2023,nil,5/6/2023,7/6/2023,nil,18/9/2023,18/9/2023,nil,18/12/2023,18/12/2023,nil,NA,NA,nil,1.366950035,103.8391876,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",101,10,"Located next to a food centre, the hawker centre at Block 226D Ang Mo Kio Ave 1 serves the marketing and dining needs of residents living in the Kebun Baru area. The centre was upgraded in 2010 and consists predominantly of market stalls.",Existing,https://goo.gl/maps/CAJGbiEU4o46xfbR8,nil
5,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),13/2/2023,14/2/2023,nil,8/5/2023,9/5/2023,nil,21/8/2023,22/8/2023,nil,20/11/2023,22/11/2023,nil,NA,NA,nil,1.364169955,103.84832,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",86,32,"Located in the heart of Teck Ghee estate and opposite Bishan Park, the 32 cooked food stalls and 86 market stalls within the hawker centre remain a popular choice among patrons despite the availability of alternative marketing and dining facilities nearby.  Popular local dishes are whipped up daily to satisfy patrons' desires for good food!",Existing,https://goo.gl/maps/quL2H4mojGZfZsHA6,nil
6,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),27/3/2023,28/3/2023,nil,12/6/2023,13/6/2023,nil,4/9/2023,5/9/2023,nil,4/12/2023,6/12/2023,nil,NA,NA,nil,1.362730026,103.8553772,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",148,40,"Also known as Teck Ghee Square, it is one of the three hawker centres that are situated along Ang Mo Kio Ave 10. Built in 1979, the hawker centre comprises 40 cooked food stalls and 148 market stalls.",Existing,https://goo.gl/maps/9AShxY98qfHC4yFK6,nil
7,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),27/2/2023,28/2/2023,nil,22/5/2023,23/5/2023,nil,7/8/2023,8/8/2023,nil,20/11/2023,22/11/2023,nil,NA,NA,nil,1.368299961,103.8564377,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",113,39,"Built in 1979, the hawker centre at Blk 453A Ang Mo Kio Ave 10 consists of 38 cooked food stalls and 184 market stalls.",Existing,https://goo.gl/maps/yRhwwdeCwrNUEGPb8,nil
8,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),13/3/2023,14/3/2023,nil,5/6/2023,6/6/2023,nil,18/9/2023,19/9/2023,nil,18/12/2023,20/12/2023,nil,NA,NA,nil,1.37270999,103.8544464,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",100,50,"Commonly known as Cheng San Market and Cooked Food Centre, Blk 527 Ang Mo Kio Ave 10 is one of the three hawker centres located along Ang Mo Kio Ave 10. The hawker centre was built in 1979 to serve the dining and marketing needs of nearby residents. Upgraded in 2004, it houses 50 cooked food stalls and 100 market stalls.",Existing,https://goo.gl/maps/1i5LTCTThDSpkEoL6,nil
9,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),TBC,TBC,nil,TBC,TBC,nil,7/8/2023,7/8/2023,nil,6/11/2023,8/11/2023,nil,1/3/2023,30/4/2023,Repairs and Redecoration,1.374600053,103.839241,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",84,40,"Commonly known as Mayflower Market, the hawker centre was built in 1981. It comprises 40 cooked food stalls and 84 market stalls to serve the marketing and dining needs of residents.",Existing,https://goo.gl/maps/JfAERHoWCXLcLxFj8,nil
10,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),27/3/2023,29/3/2023,nil,12/6/2023,14/6/2023,nil,18/9/2023,20/9/2023,nil,4/12/2023,8/12/2023,nil,NA,NA,nil,1.38066268,103.8407516,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",166,52,"Originally built in 1979, the hawker centre is located opposite Yio Chu Kang CC and near schools, temples and residential flats.   After the upgrading in 2010, the rebuilt centre consists of  52 cooked food stalls and 166 market stalls to serve the marketingand dining needs of patrons.",Existing,https://goo.gl/maps/pakHuJhMHAXm2A378,nil
