NAME,LATITUDE,LONGITUDE,ADDRESS_MYENV,DESCRIPTION_MYENV,ADDRESSTYPE,ADDRESSBLOCKHOUSENUMBER,ADDRESSFLOORNUMBER,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,ADDRESSBUILDINGNAME,REGION,PHOTOURL,STATUS,RNR_STATUS,APPROXIMATE_GFA,AWARDED_DATE,CLEANINGENDDATE,CLEANINGSTARTDATE,DESCRIPTION,EST_ORIGINAL_COMPLETION_DATE,FMEL_UPD_D,HUP_COMPLETION_DATE,HYPERLINK,IMPLEMENTATION_DATE,INC_CRC,INFO_ON_CO_LOCATORS,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NO_OF_FOOD_STALLS,NO_OF_MARKET_STALLS,point_lat,point_lon
Market Street Hawker Centre,,,,,,50,,,Market Street,48940,CapitaSpring,,,Existing (replacement),,,17/7/2017,,,New Replacement Centre,15/11/2021,20221017143612,,,1/8/2017,DB83871D0E006559,hawker centre/commercial space,29874.82,29650.7,,,1.2844248503218,103.850164578087
Marsiling Mall Hawker Centre,,,"Blk 4,Woodlands St 12,Singapore�738623",,,4,,,Woodlands Street 12,738623,Marsiling Mall,,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,Existing (replacement),,3661,4/9/2015,,,New Replacement Centre,8/11/2017,20221017143612,,,1/1/2016,67D9A36B865FC1FB,hawker centre/supermarket/shops,22042.51,46139.03,,,1.43353885680037,103.779784899996
Margaret Drive Hawker Centre,,,,,,38A,,,Margaret Drive,142038,,,,Existing (replacement),,,11/5/2015,,,New Replacement Centre,30/3/2022,20221017143612,,,2/12/2015,C80F89698B7A8757,hawker centre/branch office/supermarket/shops/flats,24816.7,31094.91,,,1.29748567106686,103.804715225285
Fernvale Hawker Centre & Market,,,,,,21,,,Sengkang West Avenue,797650,"Fernvale Community Club, Hawker Centre & Market",,,Existing (new),,,30/7/2018,,,New Centre,22/3/2022,20221017143612,,,13/8/2018,E3AB7D1743979E42,hawker centre/market/community club,32867.9,41500.77,,,1.39159232727757,103.877060478847
One Punggol Hawker Centre,,,,,,1,,,Punggol Drive,828629,One Punggol,,,Existing (new),,,8/8/2018,,,New Centre,29/4/2022,20221017143612,,,29/8/2018,4780858D968F79C9,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,35955.52,43336.13,,,1.40818996870647,103.904805657576
Bukit Canberra Hawker Centre,,,,,,21,,,Canberra Link,756973,Bukit Canberra,,,Existing (new),,,1/5/2018,,,New Centre,27/9/2022,20221017143612,,,17/5/2018,B85FF6B6AA88649C,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,26794.39,47850.43,,,1.44901674160031,103.822484958307
Senja Hawker Centre,,,,,,2,,,Senja Close,677632,,,,Existing (new),,,11/12/2018,,,New Centre,28/7/2022,20221017143612,,,1/3/2019,739D3B1889BF778F,,19953.85,41008.06,,,1.38713573069818,103.761017756804
Buangkok Hawker Centre,,,,,,72,,,Compassvale Bow,544692,Sengkang Grand Mall,,,Under Construction,,,18/9/2019,,,New Centre,2023,20221017143612,,,29/10/2019,0FFF4B5257E65F57,hawker centre/community club/bus interchange/private residential and commercial units,34575.37,40482.99,,,1.38238755827879,103.892403203249
Bukit Batok West Hawker Centre,,,,,,469A,,,Bukit Batok West Avenue 9,651469,Harmony Village,,,Under Construction,,,31/12/2020,,,New Centre,2024,20221017143612,,,21/1/2021,E3C2D62809A47B74,hawker centre/flats,17817.9,37478.45,,,1.35521457121361,103.741825836536
Telok Blangah Hawker Centre & Market,,,,,,78C,,,Telok Blangah Drive,103078,Telok Blangah Beacon,,,Under Construction,,,29/4/2022,,,New Replacement Centre,2027,20221017143612,,,20/5/2022,9BBE5ECFD4BA48D6,hawker centre/market/flats,25191,28414.9,,,1.27324863952078,103.808078713674
